,attack_type,fpr_1,tpr_1,thresholds_1,fpr_2,tpr_2,thresholds_2,pr_auc,roc_auc
0,MITM,4.472700552697997e-05,0.002960725075528701,0.11302132159471512,0.0004983866330149196,0.008580060422960726,0.08209256082773209,0.6518983244488122,0.9270074701048614
1,http_ddos,4.472700552697997e-05,0.28540335118327864,0.11288027465343475,0.0004983866330149196,0.4082915874935222,0.08209313452243805,0.9422079488572994,0.9872344694695087
2,UDP_scan,4.472700552697997e-05,0.0016200891049007696,0.11325424164533615,0.0004983866330149196,0.02713649250708789,0.08213779330253601,0.23151955318599757,0.7589804684872823
3,Uploading_attack,4.472700552697997e-05,0.27746340426662414,0.1128699854016304,0.0004983866330149196,0.4422039797029835,0.08209115266799927,0.9717095800911946,0.9921422994348126
4,Hide_and_seek,6.3895722181399955e-06,0.0,0.2775416672229767,6.3895722181399955e-06,0.0,0.2775416672229767,0.14181218346554217,0.595967090083031
5,Sparta,4.472700552697997e-05,0.9355907733700823,0.11314070969820023,0.0004983866330149196,0.9416281130032483,0.08211296051740646,0.9752403788842315,0.9862955434268434
6,Torii,4.472700552697997e-05,0.0006870251809664154,0.11753883212804794,0.0004983866330149196,0.0011251281949160136,0.08238572627305984,0.3460522583699207,0.4815949433124088
7,XSS_attack,6.3895722181399955e-06,0.0,0.2775416672229767,6.3895722181399955e-06,0.0,0.2775416672229767,0.13542176466045666,0.7001451872941435
8,Vulnerability_scanner,4.472700552697997e-05,0.002382757500270768,0.11300063133239746,0.0004983866330149196,0.01779847647929528,0.08210162073373795,0.7893806620509363,0.9618278722761766
9,SQL_injection,6.3895722181399955e-06,0.0,0.2775416672229767,6.3895722181399955e-06,0.0,0.2775416672229767,0.8242034182763097,0.9526069994099138
10,Okiru,4.472700552697997e-05,0.6957877128953771,0.11287012696266174,0.0004983866330149196,0.9018780413625304,0.08209480345249176,0.9955666353885368,0.9989552123926453
11,Ransomware,4.472700552697997e-05,0.005442176870748299,0.11448650062084198,0.00046004919970607966,0.007074829931972789,0.08404850959777832,0.1208322861705908,0.7571667216879829
12,Muhstik,6.3895722181399955e-06,0.0,0.2775416672229767,6.3895722181399955e-06,0.0,0.2775416672229767,0.14357733652771512,0.6471243503800868
13,bruteforce,6.3895722181399955e-06,0.0,0.2775416672229767,0.0004983866330149196,0.5963863086906731,0.0821617916226387,0.6208890530356926,0.8173397127860864
14,Hakai,6.3895722181399955e-06,0.0,0.2775416672229767,6.3895722181399955e-06,0.0,0.2775416672229767,0.12593822025707777,0.51863045814949
15,DOS_synflooding,4.472700552697997e-05,0.46583355490561024,0.11297508329153061,0.0004983866330149196,0.4716070953773692,0.08210369944572449,0.6019092467052162,0.7448848034723021
16,Password_attack,6.3895722181399955e-06,0.0,0.2775416672229767,6.3895722181399955e-06,0.0,0.2775416672229767,0.669042305819083,0.9567246537491354
