,anomaly_loss,normal_loss,auc_eval
0,0.01493279789855838,0.00190239561400786,0.5902130942240188
0,0.01654052734375,0.0011049647155503414,0.7001893423293675
0,0.011947270257663541,0.0010031116763407372,0.5574943312030943
0,0.011930064151161596,0.0015128236076773379,0.652601571304919
0,0.010598470825433266,0.0012186710806335224,0.7378083715535645
0,0.011575931229321813,0.001454604573822425,0.6930021449654299
0,0.014451535356904563,0.0011690709351694494,0.7396669611143198
0,0.011806154344049346,0.0018971498166835826,0.5505243975486641
0,0.01476030554223014,0.0016354196098111037,0.6014754699287076
0,0.013474730255543372,0.0015531636444775228,0.7256969538951695
0,0.00952846311453955,0.00028383019234931903,0.609362076942321
0,0.010111757653963264,0.00028717532567384274,0.5699782446597812
0,0.010475275809304756,0.00026426792901526304,0.6761009039336562
0,0.010479588722392597,0.0002660058915688655,0.5649121803508508
0,0.009839017953556649,0.00026309433447539,0.5613625331807605
0,0.009437539656492237,0.00023686894242083706,0.6149526387550587
0,0.009664655428880837,0.00041031942567672285,0.6030400393120401
0,0.00979212896633334,0.00027077457846377687,0.5818962848989934
0,0.01026894195735106,0.0002267808641754242,0.6031222045477143
0,0.009694059457462899,0.00020164397422482445,0.5816145945571156
