,attack_type,fpr_1,tpr_1,thresholds_1,fpr_2,tpr_2,thresholds_2,pr_auc,roc_auc
0,data_theft,4.808000512853388e-05,0.6039707419017764,0.17622175812721252,0.0004968267196615168,0.6736328805294323,0.1250820904970169,0.9218885711227957,0.9854168538119322
1,http_ddos,4.808000512853388e-05,0.7427189497322508,0.17622432112693787,0.0004968267196615168,0.8580065641734324,0.1251438707113266,0.9939315484249721,0.9976721140986721
2,port_scan_router,4.808000512853388e-05,0.99125,0.17627911269664764,0.0004968267196615168,0.9965875,0.12519587576389313,0.9997888462950433,0.9998283964516956
3,bashlite,4.808000512853388e-05,0.8140951580716311,0.17636963725090027,0.0004968267196615168,0.844449112488184,0.12508808076381683,0.9099998053973627,0.9765243958952634
4,udp_ddos_router,4.808000512853388e-05,0.9987556799875568,0.17711326479911804,0.0004888133854734278,0.9990667599906676,0.1265486478805542,0.9999152342038513,0.9999153280033523
6,tcp_ddos_router,4.808000512853388e-05,0.9979120609186932,0.1767905354499817,0.0004968267196615168,0.9985125139878271,0.12520375847816467,0.9999015127813904,0.9999275971996244
7,os_scan,4.808000512853388e-05,0.6653470572710478,0.17621280252933502,0.0004968267196615168,0.8874373185537081,0.12506937980651855,0.9952127369288473,0.9970001538088542
8,udp_ddos,4.808000512853388e-05,0.9708,0.17634187638759613,0.0004968267196615168,0.9808,0.1256582885980606,0.9934167531933977,0.9988289161164178
9,mirai,4.808000512853388e-05,0.9656387172533341,0.17802388966083527,0.0004888133854734278,0.9658064696507954,0.12697690725326538,0.9924348103281182,0.9958135459444385
10,mirai_router_filter,4.808000512853388e-05,0.8168583450210378,0.1762397587299347,0.0004968267196615168,0.8780364656381486,0.12507364153862,0.9943449117280152,0.9976100580313748
11,service_scan,4.808000512853388e-05,0.8903737154969817,0.1763765960931778,0.0004968267196615168,0.9053192633211987,0.12511001527309418,0.983995002828914,0.9873956211863943
12,aidra,4.808000512853388e-05,0.6229885057471264,0.17635175585746765,0.0004968267196615168,0.6596934865900383,0.12509429454803467,0.8264078933527506,0.9423108846991125
13,os_scan_router,4.808000512853388e-05,0.9869414101290963,0.17625202238559723,0.0004968267196615168,0.9939299900695134,0.12529610097408295,0.9997775369755986,0.9998010864358333
14,keylogging,4.808000512853388e-05,0.6003344481605352,0.17631541192531586,0.0004968267196615168,0.6667224080267559,0.12515263259410858,0.9258212853497085,0.9916044183809484
15,tcp_ddos,4.808000512853388e-05,0.9084,0.17709964513778687,0.0004968267196615168,0.9176,0.12557457387447357,0.9311635524082835,0.9372347345983716
