,attack_type,fpr_1,tpr_1,thresholds_1,fpr_2,tpr_2,thresholds_2,pr_auc,roc_auc
0,MITM,4.808000512853388e-05,0.7298187311178248,0.1762346625328064,0.0004968267196615168,0.8405740181268883,0.12521778047084808,0.985466619975791,0.9922178971064648
1,http_ddos,4.808000512853388e-05,0.7427189497322508,0.17622432112693787,0.0004968267196615168,0.8580065641734324,0.1251438707113266,0.9939315484249721,0.9976721140986721
2,UDP_scan,4.808000512853388e-05,0.1868502767652221,0.17624257504940033,0.0004968267196615168,0.3025516403402187,0.1251082569360733,0.5945549076123663,0.9408093966699999
3,Uploading_attack,4.808000512853388e-05,0.7559044658749767,0.17622970044612885,0.0004968267196615168,0.8872240376185543,0.12507085502147675,0.9967622499323142,0.9984538971980641
4,Hide_and_seek,8.01333418808898e-06,0.0,0.35187777876853943,8.01333418808898e-06,0.0,0.35187777876853943,0.7051782700515268,0.9422340991918652
5,Sparta,4.808000512853388e-05,0.946188929356564,0.17748594284057617,0.0004968267196615168,0.9498966433704105,0.12524794042110443,0.9877252800932168,0.9942863787435017
6,Torii,4.808000512853388e-05,0.000477930560672289,0.1780739426612854,0.0004968267196615168,0.0007666802744117969,0.1251371204853058,0.5174659560186557,0.6973904486856737
7,XSS_attack,8.01333418808898e-06,0.0,0.35187777876853943,8.01333418808898e-06,0.0,0.35187777876853943,0.08478844592915047,0.3696848364412114
8,Vulnerability_scanner,4.808000512853388e-05,0.8817285822592873,0.1762736290693283,0.0004968267196615168,0.9511534712444493,0.12513646483421326,0.9977492587493327,0.9993146701457989
9,SQL_injection,4.808000512853388e-05,0.9010892480674632,0.17623788118362427,0.0004968267196615168,0.939544780198329,0.1250743269920349,0.9974210384549806,0.9981661346743808
10,Okiru,4.808000512853388e-05,0.9863518856447688,0.17656756937503815,0.0004968267196615168,0.9941453771289538,0.12558592855930328,0.9995006167042255,0.9998233419899765
11,Ransomware,2.404000256426694e-05,0.0045351473922902496,0.18985894322395325,0.0004247067119687159,0.006712018140589569,0.12860487401485443,0.14777602450721822,0.6487391394791137
12,Muhstik,8.01333418808898e-06,0.0,0.35187777876853943,8.01333418808898e-06,0.0,0.35187777876853943,0.7199648693889248,0.9650392301977166
13,bruteforce,4.808000512853388e-05,0.1581626161089197,0.17657317221164703,0.0004968267196615168,0.3944522203842728,0.12508992850780487,0.6916061004391222,0.9274898997525469
14,Hakai,8.01333418808898e-06,0.0,0.35187777876853943,8.01333418808898e-06,0.0,0.35187777876853943,0.2314555496048736,0.7246450573965042
15,DOS_synflooding,4.808000512853388e-05,0.4722528202985528,0.17624500393867493,0.0004968267196615168,0.4790899076993201,0.12511064112186432,0.6960988000867367,0.8725138027253982
16,Password_attack,4.808000512853388e-05,0.7782403654852259,0.1762217879295349,0.0004968267196615168,0.8536216933166311,0.1250852346420288,0.991038494309074,0.9965224959474412
