,anomaly_loss,normal_loss,auc_eval
0,0.051576975462442956,0.00190239561400786,0.951882946194257
0,0.0569852599982799,0.001298515533059809,0.9443194835456006
0,0.053455885433818684,0.000890206037806237,0.9476015806907527
0,0.06542114786155968,0.005403169562336924,0.9358569164219737
0,0.06185244042307172,0.0023312774668965805,0.9405136526007231
0,0.05593560232809266,0.0011423197063351199,0.9510704525316529
0,0.0625308276927691,0.0021794786152228374,0.9323636362766003
0,0.05534622944697968,0.0014473197532065896,0.960528713225379
0,0.052379092732272654,0.0011049251122525962,0.9547068263620011
0,0.050375183587869306,0.0010031672554910761,0.9602696999630006
0,0.027034218256573143,0.000276370709418746,0.956906299886706
0,0.03477888354960805,0.00025260242451395523,0.9656026852413726
0,0.041719582370676224,0.0002606125908792597,0.9687798391834028
0,0.0409066685169408,0.0003249981146475937,0.9561147351966338
0,0.046658873064517076,0.00028984495370481785,0.9685708296306584
0,0.046117809153518416,0.000295454958426513,0.9692964575149406
0,0.04808489218393483,0.00023354392605806612,0.9658375166214872
0,0.044309464620835,0.0003706715216692994,0.9599637350658237
0,0.04333335867850548,0.00023679164872348593,0.9594158102067449
0,0.04388769434769889,0.00030792806329728854,0.9636416044474435
