,attack_type,fpr_1,tpr_1,thresholds_1,fpr_2,tpr_2,thresholds_2,pr_auc,roc_auc
0,data_theft,0.0,0.5078369905956113,4.740001201629639,0.0004983866330149196,0.509926854754441,0.0820927694439888,0.8100037347920028,0.9680175810270256
1,http_ddos,4.472700552697997e-05,0.28540335118327864,0.11288027465343475,0.0004983866330149196,0.4082915874935222,0.08209313452243805,0.9422079488572994,0.9872344694695087
2,port_scan_router,4.472700552697997e-05,0.9915375,0.11288052797317505,0.0004983866330149196,0.99565,0.08213571459054947,0.9995653765172107,0.9996568306523753
3,bashlite,4.472700552697997e-05,0.712740258376221,0.11288923025131226,0.0004983866330149196,0.7350068270139691,0.08222045004367828,0.8171982205602759,0.9201129251023048
4,udp_ddos_router,4.472700552697997e-05,0.9978002199780022,0.11344978958368301,0.0004983866330149196,0.9983446099834461,0.08259111642837524,0.9998402171978207,0.9998653145416392
6,tcp_ddos_router,4.472700552697997e-05,0.9974753677775049,0.1129574179649353,0.0004983866330149196,0.998103114167963,0.08234338462352753,0.99977824380778,0.9998361733232685
7,os_scan,4.472700552697997e-05,0.4984494589601478,0.11287116259336472,0.0004983866330149196,0.5771311691739245,0.08212463557720184,0.9461849519656614,0.9718584592194155
8,udp_ddos,4.472700552697997e-05,0.9646,0.11299268901348114,0.0004983866330149196,0.9734,0.08228980004787445,0.990294336155142,0.998042474042363
9,mirai,4.472700552697997e-05,0.9628708026952219,0.11338973790407181,0.00046643877192421965,0.9648279139989375,0.08317866921424866,0.9792388657619695,0.9877317088922153
10,mirai_router_filter,4.472700552697997e-05,0.30333800841514724,0.11288367211818695,0.0004983866330149196,0.424039270687237,0.08208975195884705,0.8680877816042267,0.9548880749926077
11,service_scan,4.472700552697997e-05,0.33353301691166304,0.11289096623659134,0.0004983866330149196,0.3634855536611216,0.08210506290197372,0.9339750740103353,0.957622842711945
12,aidra,4.472700552697997e-05,0.38306513409961684,0.11292088776826859,0.0004983866330149196,0.4685823754789272,0.08212866634130478,0.6568060985264065,0.8594842861201477
13,os_scan_router,4.472700552697997e-05,0.9679617676266137,0.11287890374660492,0.0004983866330149196,0.9850297914597815,0.08209839463233948,0.9993793028487901,0.9995268618139526
14,keylogging,0.0,0.5274247491638796,0.32380107045173645,0.0001277914443627999,0.5275919732441472,0.10142423957586288,0.8061260951702474,0.9731555196234127
15,tcp_ddos,4.472700552697997e-05,0.9034,0.11356695741415024,0.0004983866330149196,0.9116,0.08221069723367691,0.9288717454443353,0.9487528839334207
