,thresholds,fpr,tpr
0,3.5673580169677734,0.0,0.0
1,2.5673580169677734,0.0,0.0002
2,0.23131293058395386,0.0,0.8708
3,0.2306094765663147,6.3895722181399955e-06,0.8708
4,0.18719792366027832,6.3895722181399955e-06,0.8818
5,0.18717986345291138,1.2779144436279991e-05,0.8818
6,0.1641375869512558,1.2779144436279991e-05,0.8894
7,0.16370974481105804,1.9168716654419988e-05,0.8894
8,0.12049263715744019,1.9168716654419988e-05,0.8982
9,0.12009447813034058,2.5558288872559982e-05,0.8982
10,0.11617843061685562,2.5558288872559982e-05,0.8994
11,0.11567492038011551,3.1947861090699976e-05,0.8994
12,0.11546186357736588,3.1947861090699976e-05,0.8996
13,0.11475715786218643,3.8337433308839976e-05,0.8996
14,0.10900310426950455,3.8337433308839976e-05,0.9014
15,0.10834115743637085,4.472700552697997e-05,0.9014
16,0.10547761619091034,4.472700552697997e-05,0.9024
17,0.10485757142305374,5.1116577745119964e-05,0.9024
18,0.10282376408576965,5.1116577745119964e-05,0.9032
19,0.09886637330055237,8.306443883581994e-05,0.9032
20,0.096429243683815,8.306443883581994e-05,0.9038
21,0.09543361514806747,9.584358327209993e-05,0.9038
22,0.09515365213155746,9.584358327209993e-05,0.904
23,0.09337063878774643,0.0001277914443627999,0.904
24,0.09324495494365692,0.0001277914443627999,0.9042
25,0.09284844994544983,0.0001405705887990799,0.9042
26,0.09261132776737213,0.0001405705887990799,0.9044
27,0.09235060214996338,0.0001533497332353599,0.9044
28,0.09197946637868881,0.0001533497332353599,0.9046
29,0.0917213037610054,0.0001597393054534999,0.9046
30,0.09134630113840103,0.0001597393054534999,0.9048
31,0.09091643244028091,0.00016612887767163988,0.9048
32,0.0900820940732956,0.00016612887767163988,0.9052
33,0.08824670314788818,0.00024280374428931983,0.9052
34,0.08693265914916992,0.00024280374428931983,0.9058
35,0.08653070777654648,0.0002619724609437398,0.9058
36,0.08567585051059723,0.0002619724609437398,0.9062
37,0.08539425581693649,0.00026836203316187983,0.9062
38,0.08504843711853027,0.00026836203316187983,0.9064
39,0.0838157907128334,0.00032586818312513977,0.9064
40,0.08379589021205902,0.00032586818312513977,0.9066
41,0.08339930325746536,0.00033225775534327976,0.9066
42,0.0831712856888771,0.00033225775534327976,0.9068
43,0.08292264491319656,0.00034503689977955973,0.9068
44,0.08254648000001907,0.00034503689977955973,0.907
45,0.08227749168872833,0.0003514264719976998,0.907
46,0.08129912614822388,0.0003514264719976998,0.9074
47,0.08122722804546356,0.00036420561643397975,0.9074
48,0.08005430549383163,0.00036420561643397975,0.9078
49,0.07949405908584595,0.00037059518865211974,0.9078
50,0.07880950719118118,0.00037059518865211974,0.9082
51,0.07829175144433975,0.00038976390530653975,0.9082
52,0.07818374037742615,0.00038976390530653975,0.9084
53,0.07773599028587341,0.0004025430497428197,0.9084
54,0.07755766808986664,0.0004025430497428197,0.9086
55,0.07719557732343674,0.0004217117663972397,0.9086
56,0.07697898894548416,0.0004217117663972397,0.9088
57,0.07674454897642136,0.0004408804830516597,0.9088
58,0.07640355825424194,0.0004408804830516597,0.909
59,0.07584680616855621,0.0004728283441423597,0.909
60,0.07582855969667435,0.0004728283441423597,0.9092
61,0.07540152966976166,0.00048560748857863966,0.9092
62,0.07525405287742615,0.00048560748857863966,0.9094
63,0.07486076653003693,0.0005111657774511996,0.9094
64,0.07461001724004745,0.0005111657774511996,0.9098
65,0.07415483891963959,0.0005495032107600396,0.9098
66,0.07410703599452972,0.0005495032107600396,0.91
67,0.07405630499124527,0.0005558927829781796,0.91
68,0.07403644919395447,0.0005558927829781796,0.9102
69,0.07351796329021454,0.0005878406440688796,0.9102
70,0.07346440106630325,0.0005878406440688796,0.9104
71,0.07292628288269043,0.0006133989329414396,0.9104
72,0.07292327284812927,0.0006133989329414396,0.9106
73,0.072553351521492,0.0006325676495958595,0.9106
74,0.07238298654556274,0.0006325676495958595,0.9108
75,0.07192250341176987,0.0006645155106865595,0.9108
76,0.07184265553951263,0.0006645155106865595,0.911
77,0.07172619551420212,0.0006772946551228395,0.911
78,0.07130228728055954,0.0006772946551228395,0.9112
79,0.07083220779895782,0.0007028529439953995,0.9112
80,0.07076232135295868,0.0007028529439953995,0.9114
81,0.07041812688112259,0.0007284112328679595,0.9114
82,0.07022272795438766,0.0007284112328679595,0.9116
83,0.06969939917325974,0.0007475799495223795,0.9116
84,0.06968322396278381,0.0007475799495223795,0.9118
85,0.06917400658130646,0.0007795278106130795,0.9118
86,0.06914452463388443,0.0007795278106130795,0.912
87,0.06887735426425934,0.0007923069550493595,0.912
88,0.06860488653182983,0.0007923069550493595,0.9122
89,0.0681561753153801,0.0008242548161400595,0.9122
90,0.0680638998746872,0.0008242548161400595,0.9124
91,0.06754080206155777,0.0008817609661033194,0.9124
92,0.06752271205186844,0.0008817609661033194,0.9126
93,0.06645867228507996,0.0009648254049391393,0.9126
94,0.06644146144390106,0.0009648254049391393,0.9128
95,0.0649048313498497,0.0010798377048656593,0.9128
96,0.0648227259516716,0.0010798377048656593,0.913
97,0.0643712654709816,0.0011501229992651992,0.913
98,0.06428348273038864,0.0011501229992651992,0.9132
99,0.06381286680698395,0.001220408293664739,0.9132
100,0.06374503672122955,0.001220408293664739,0.9134
101,0.06325136870145798,0.0013162518769368392,0.9134
102,0.06320671737194061,0.0013162518769368392,0.9136
103,0.06282010674476624,0.001367368454681959,0.9136
104,0.0626685619354248,0.001367368454681959,0.9138
105,0.062157005071640015,0.001431264176863359,0.9138
106,0.06213097646832466,0.001431264176863359,0.914
107,0.06052675098180771,0.001693236637807099,0.914
108,0.06052123382687569,0.001693236637807099,0.9142
109,0.06001264601945877,0.0017890802210791988,0.9142
110,0.05998532846570015,0.0017890802210791988,0.9144
111,0.05947726592421532,0.0018529759432605987,0.9144
112,0.05945020541548729,0.0018529759432605987,0.9146
113,0.05892527103424072,0.0019296508098782786,0.9146
114,0.05891507863998413,0.0019296508098782786,0.9148
115,0.05843120440840721,0.0019935465320596786,0.9148
116,0.05838059261441231,0.0019935465320596786,0.915
117,0.05785902217030525,0.0020574422542410787,0.915
118,0.05784650892019272,0.0020574422542410787,0.9152
119,0.05682097375392914,0.0022107919874764384,0.9152
120,0.05678039789199829,0.0022107919874764384,0.9154
121,0.05626075342297554,0.0023066355707485383,0.9154
122,0.05623949319124222,0.0023066355707485383,0.9156
123,0.05571576580405235,0.0024216478706750584,0.9156
124,0.055707789957523346,0.0024216478706750584,0.9158
125,0.05521330237388611,0.0025047123095108784,0.9158
126,0.0551767535507679,0.0025047123095108784,0.916
127,0.054660506546497345,0.002574997603910418,0.916
128,0.05464621260762215,0.002574997603910418,0.9162
129,0.05413426086306572,0.002658062042746238,0.9162
130,0.05411620810627937,0.002658062042746238,0.9164
131,0.05358922854065895,0.002709178620491358,0.9164
132,0.05358695611357689,0.002709178620491358,0.9166
133,0.05305924266576767,0.002773074342672758,0.9166
134,0.053058646619319916,0.002773074342672758,0.9168
135,0.05253513902425766,0.002856138781508578,0.9168
136,0.052530646324157715,0.002856138781508578,0.917
137,0.052071377635002136,0.002932813648126258,0.917
138,0.05200417712330818,0.002932813648126258,0.9172
139,0.051479533314704895,0.003035046803616498,0.9172
140,0.05147778242826462,0.003035046803616498,0.9174
141,0.05095524713397026,0.003175617392415578,0.9174
142,0.05095246061682701,0.003175617392415578,0.9176
143,0.05048738047480583,0.0033161879812146577,0.9176
144,0.05042898282408714,0.0033161879812146577,0.9178
145,0.04991871491074562,0.0035078751477588574,0.9178
146,0.049911901354789734,0.0035078751477588574,0.918
147,0.0494060143828392,0.0036995623143030575,0.918
148,0.04939572140574455,0.0036995623143030575,0.9182
149,0.048881836235523224,0.003897639053065397,0.9182
150,0.04888086020946503,0.003897639053065397,0.9184
151,0.04837017506361008,0.0041148845084821575,0.9184
152,0.04836668446660042,0.0041148845084821575,0.9186
153,0.047870419919490814,0.004389636113862177,0.9186
154,0.047854211181402206,0.004389636113862177,0.9188
155,0.04737202823162079,0.004568544135970097,0.9188
156,0.047342244535684586,0.004568544135970097,0.919
157,0.046857960522174835,0.004779400019168717,0.919
158,0.046831779181957245,0.004779400019168717,0.9192
159,0.046365901827812195,0.004983866330149196,0.9192
160,0.04632215201854706,0.004983866330149196,0.9194
161,0.04530945047736168,0.005456694674291556,0.9194
162,0.04530685022473335,0.005456694674291556,0.9196
163,0.04387787729501724,0.006018977029487876,0.9196
164,0.04387149214744568,0.006018977029487876,0.9198
165,0.043399959802627563,0.006332066068176736,0.9198
166,0.04339342191815376,0.006332066068176736,0.92
167,0.04291418939828873,0.0066962716846107155,0.92
168,0.04291365295648575,0.0066962716846107155,0.9202
169,0.042440805584192276,0.007105204306571675,0.9202
170,0.04243491590023041,0.007105204306571675,0.9204
171,0.041963040828704834,0.007431072489696815,0.9204
172,0.04195715859532356,0.007431072489696815,0.9206
173,0.04148248955607414,0.0077824989616945145,0.9206
174,0.04148076847195625,0.0077824989616945145,0.9208
175,0.040064964443445206,0.008913453244305293,0.9208
176,0.04005986824631691,0.008913453244305293,0.921
177,0.03959278017282486,0.009271269288521133,0.921
178,0.03958895429968834,0.009271269288521133,0.9212
179,0.03911980986595154,0.009788824638190472,0.9212
180,0.03911297768354416,0.009788824638190472,0.9214
181,0.03888454660773277,0.009999680521389094,0.9214
182,0.03887055814266205,0.009999680521389094,0.9216
183,0.0384104959666729,0.010440561004440753,0.9216
184,0.03840174898505211,0.010440561004440753,0.9218
185,0.037939444184303284,0.010804766620874732,0.9218
186,0.037936728447675705,0.010804766620874732,0.922
187,0.03747468441724777,0.011277594965017092,0.922
188,0.037472836673259735,0.011277594965017092,0.9222
189,0.0370117612183094,0.011795150314686432,0.9222
190,0.037010300904512405,0.011795150314686432,0.9224
191,0.03654466196894646,0.012363822242100891,0.9224
192,0.03654450923204422,0.012363822242100891,0.9226
193,0.03555036708712578,0.01349477652471167,0.9226
194,0.03554517775774002,0.01349477652471167,0.9228
195,0.035050489008426666,0.01419762946870707,0.9228
196,0.035046570003032684,0.01419762946870707,0.923
197,0.034547846764326096,0.01500910514041085,0.923
198,0.03454556316137314,0.01500910514041085,0.9232
199,0.03404457867145538,0.01585891824542347,0.9232
200,0.034043602645397186,0.01585891824542347,0.9234
201,0.033542096614837646,0.01693236637807099,0.9234
202,0.03354198858141899,0.01693236637807099,0.9236
203,0.03304102644324303,0.018108047666208747,0.9236
204,0.03304094448685646,0.018108047666208747,0.9238
205,0.03255384787917137,0.019520143126417686,0.9238
206,0.03255264461040497,0.019520143126417686,0.924
207,0.03207284212112427,0.021028082169898724,0.924
208,0.03207245096564293,0.021028082169898724,0.9242
209,0.03168889507651329,0.022587137791124885,0.9242
210,0.031688421964645386,0.022599916935561164,0.9242
211,0.031593263149261475,0.023053576563049103,0.9242
212,0.03159266337752342,0.023053576563049103,0.9244
213,0.031116439029574394,0.025283537267179964,0.9244
214,0.03111383691430092,0.025283537267179964,0.9246
215,0.030635740607976913,0.02751349797131082,0.9246
216,0.030634377151727676,0.02751349797131082,0.9248
217,0.030627502128481865,0.0275582249768378,0.9248
218,0.030626729130744934,0.02757100412127408,0.9248
219,0.03015059418976307,0.03033129931951056,0.9248
220,0.030149850994348526,0.03033129931951056,0.925
221,0.029670823365449905,0.03358359157854382,0.925
222,0.029668593779206276,0.03358359157854382,0.9252
223,0.02949487790465355,0.03480399987220856,0.9252
224,0.029493559151887894,0.03481677901664484,0.9252
225,0.02920764498412609,0.037155362448484074,0.9252
226,0.02920515462756157,0.03716814159292035,0.9252
227,0.0291892196983099,0.037302322609501296,0.9252
228,0.029188262298703194,0.037302322609501296,0.9254
229,0.02902168594300747,0.038771924219673494,0.9254
230,0.02902165614068508,0.038784703364109774,0.9254
231,0.02871355600655079,0.04164084214561835,0.9254
232,0.028713271021842957,0.04165362129005463,0.9254
233,0.028709299862384796,0.04171112744001789,0.9254
234,0.028708983212709427,0.04171112744001789,0.9256
235,0.02864021062850952,0.042445928245103993,0.9256
236,0.02863900735974312,0.04245870738954027,0.9256
237,0.028619559481739998,0.04265039455608447,0.9256
238,0.02861860767006874,0.04266317370052075,0.9256
239,0.02835671417415142,0.04542346889875723,0.9256
240,0.028355786576867104,0.04543624804319351,0.9256
241,0.028231067582964897,0.04680361649787547,0.9256
242,0.02823065221309662,0.04680361649787547,0.9258
243,0.028230560943484306,0.046810006070093606,0.9258
244,0.028230536729097366,0.046822785214529886,0.9258
245,0.028188839554786682,0.04714226382543689,0.9258
246,0.028188006952404976,0.04715504296987317,0.9258
247,0.028019355610013008,0.04922526436855053,0.9258
248,0.028018878772854805,0.04923804351298681,0.9258
249,0.02775460295379162,0.052605348071946584,0.9258
250,0.027753768488764763,0.052605348071946584,0.926
251,0.027572745457291603,0.05528896840356538,0.926
252,0.027572594583034515,0.05530174754800166,0.926
253,0.02756696194410324,0.05534647455352864,0.926
254,0.027566581964492798,0.05535925369796492,0.926
255,0.027477886527776718,0.0566499472860292,0.926
256,0.0274776890873909,0.05666272643046548,0.926
257,0.02727515622973442,0.059704162806300115,0.926
258,0.027275007218122482,0.059704162806300115,0.9262
259,0.027121763676404953,0.062023577521484935,0.9262
