,robust_attack,abnormal_precision,abnormal_recall,normal_precision,normal_recall,support
0,udp_ddos_0.01.csv,0.231,1.0,1.0,0.83,109881
0,tcp_ddos_0.01.csv,0.302,0.999,1.0,0.83,109881
